# epoch,loss,loss_val
0.000000000000000000e+00,6.929088830947875977e-01,6.927771568298339844e-01
1.000000000000000000e+00,6.913425326347351074e-01,6.911748051643371582e-01
2.000000000000000000e+00,6.898388862609863281e-01,6.896612644195556641e-01
3.000000000000000000e+00,6.882923841476440430e-01,6.880443096160888672e-01
4.000000000000000000e+00,6.866403818130493164e-01,6.863009333610534668e-01
5.000000000000000000e+00,6.847960352897644043e-01,6.843994259834289551e-01
6.000000000000000000e+00,6.827052831649780273e-01,6.822843551635742188e-01
7.000000000000000000e+00,6.803505420684814453e-01,6.798731684684753418e-01
8.000000000000000000e+00,6.776701807975769043e-01,6.771419048309326172e-01
9.000000000000000000e+00,6.746422648429870605e-01,6.740895509719848633e-01
1.000000000000000000e+01,6.712777018547058105e-01,6.707164049148559570e-01
1.100000000000000000e+01,6.675811409950256348e-01,6.670266389846801758e-01
1.200000000000000000e+01,6.635010242462158203e-01,6.630246043205261230e-01
1.300000000000000000e+01,6.590259075164794922e-01,6.587156057357788086e-01
1.400000000000000000e+01,6.540901064872741699e-01,6.541481018066406250e-01
1.500000000000000000e+01,6.486989855766296387e-01,6.491885185241699219e-01
1.600000000000000000e+01,6.428746581077575684e-01,6.438068151473999023e-01
1.700000000000000000e+01,6.366572380065917969e-01,6.382181644439697266e-01
1.800000000000000000e+01,6.300053596496582031e-01,6.322521567344665527e-01
1.900000000000000000e+01,6.228849887847900391e-01,6.259371638298034668e-01
2.000000000000000000e+01,6.152852773666381836e-01,6.192071437835693359e-01
2.100000000000000000e+01,6.071235537528991699e-01,6.120576858520507812e-01
2.200000000000000000e+01,5.984006524085998535e-01,6.045010089874267578e-01
2.300000000000000000e+01,5.891497135162353516e-01,5.964991450309753418e-01
2.400000000000000000e+01,5.793197154998779297e-01,5.881000757217407227e-01
2.500000000000000000e+01,5.689182281494140625e-01,5.793781280517578125e-01
2.600000000000000000e+01,5.579826235771179199e-01,5.703463554382324219e-01
2.700000000000000000e+01,5.464203953742980957e-01,5.610220432281494141e-01
2.800000000000000000e+01,5.341948270797729492e-01,5.513359904289245605e-01
2.900000000000000000e+01,5.212920308113098145e-01,5.412098765373229980e-01
3.000000000000000000e+01,5.077117085456848145e-01,5.307446718215942383e-01
3.100000000000000000e+01,4.934801459312438965e-01,5.201007723808288574e-01
3.200000000000000000e+01,4.786541461944580078e-01,5.094400048255920410e-01
3.300000000000000000e+01,4.632937908172607422e-01,4.988385140895843506e-01
3.400000000000000000e+01,4.474794864654541016e-01,4.883763790130615234e-01
3.500000000000000000e+01,4.312676191329956055e-01,4.781385064125061035e-01
3.600000000000000000e+01,4.147385358810424805e-01,4.681789577007293701e-01
3.700000000000000000e+01,3.979861736297607422e-01,4.587313830852508545e-01
3.800000000000000000e+01,3.811379373073577881e-01,4.499220252037048340e-01
3.900000000000000000e+01,3.642877340316772461e-01,4.418511092662811279e-01
4.000000000000000000e+01,3.475567102432250977e-01,4.345801770687103271e-01
4.100000000000000000e+01,3.310555219650268555e-01,4.282541573047637939e-01
4.200000000000000000e+01,3.148571848869323730e-01,4.227890968322753906e-01
4.300000000000000000e+01,2.990995645523071289e-01,4.186178445816040039e-01
4.400000000000000000e+01,2.839123606681823730e-01,4.157897233963012695e-01
4.500000000000000000e+01,2.693976759910583496e-01,4.137521386146545410e-01
4.600000000000000000e+01,2.556612193584442139e-01,4.125545322895050049e-01
4.700000000000000000e+01,2.427724897861480713e-01,4.127471745014190674e-01
4.800000000000000000e+01,2.307800650596618652e-01,4.143241345882415771e-01
4.900000000000000000e+01,2.197084575891494751e-01,4.171508848667144775e-01
5.000000000000000000e+01,2.095756232738494873e-01,4.205602109432220459e-01
5.100000000000000000e+01,2.003799378871917725e-01,4.243953526020050049e-01
5.200000000000000000e+01,1.920966207981109619e-01,4.290310740470886230e-01
5.300000000000000000e+01,1.846934407949447632e-01,4.346305727958679199e-01
5.400000000000000000e+01,1.781141459941864014e-01,4.411129951477050781e-01
5.500000000000000000e+01,1.722828745841979980e-01,4.481638967990875244e-01
5.600000000000000000e+01,1.671324074268341064e-01,4.552314877510070801e-01
