# epoch,loss,loss_val
0.000000000000000000e+00,6.716589331626892090e-01,6.754519343376159668e-01
1.000000000000000000e+00,6.695894002914428711e-01,6.739887595176696777e-01
2.000000000000000000e+00,6.677492856979370117e-01,6.727305054664611816e-01
3.000000000000000000e+00,6.661927700042724609e-01,6.716151237487792969e-01
4.000000000000000000e+00,6.648461818695068359e-01,6.703703999519348145e-01
5.000000000000000000e+00,6.633697748184204102e-01,6.689394712448120117e-01
6.000000000000000000e+00,6.617282629013061523e-01,6.674078106880187988e-01
7.000000000000000000e+00,6.599215865135192871e-01,6.657379865646362305e-01
8.000000000000000000e+00,6.580300331115722656e-01,6.640083789825439453e-01
9.000000000000000000e+00,6.560725569725036621e-01,6.620452404022216797e-01
1.000000000000000000e+01,6.538969278335571289e-01,6.599881052970886230e-01
1.100000000000000000e+01,6.515955328941345215e-01,6.578233242034912109e-01
1.200000000000000000e+01,6.492155790328979492e-01,6.555709242820739746e-01
1.300000000000000000e+01,6.467431187629699707e-01,6.531333923339843750e-01
1.400000000000000000e+01,6.440473794937133789e-01,6.504561901092529297e-01
1.500000000000000000e+01,6.410697102546691895e-01,6.474882364273071289e-01
1.600000000000000000e+01,6.377820372581481934e-01,6.442183852195739746e-01
1.700000000000000000e+01,6.341704726219177246e-01,6.406404376029968262e-01
1.800000000000000000e+01,6.302392482757568359e-01,6.367023587226867676e-01
1.900000000000000000e+01,6.259486675262451172e-01,6.323976516723632812e-01
2.000000000000000000e+01,6.212848424911499023e-01,6.277269721031188965e-01
2.100000000000000000e+01,6.162410974502563477e-01,6.226595044136047363e-01
2.200000000000000000e+01,6.107927560806274414e-01,6.171581149101257324e-01
2.300000000000000000e+01,6.048917174339294434e-01,6.112582683563232422e-01
2.400000000000000000e+01,5.985076427459716797e-01,6.049272418022155762e-01
2.500000000000000000e+01,5.916299819946289062e-01,5.981082320213317871e-01
2.600000000000000000e+01,5.842002630233764648e-01,5.907722711563110352e-01
2.700000000000000000e+01,5.761757493019104004e-01,5.828921198844909668e-01
2.800000000000000000e+01,5.675508379936218262e-01,5.744834542274475098e-01
2.900000000000000000e+01,5.583409070968627930e-01,5.655657649040222168e-01
3.000000000000000000e+01,5.485810041427612305e-01,5.561341047286987305e-01
3.100000000000000000e+01,5.382339954376220703e-01,5.462247729301452637e-01
3.200000000000000000e+01,5.273029804229736328e-01,5.358240008354187012e-01
3.300000000000000000e+01,5.157951116561889648e-01,5.249773263931274414e-01
3.400000000000000000e+01,5.037180185317993164e-01,5.137483477592468262e-01
3.500000000000000000e+01,4.911374151706695557e-01,5.021557211875915527e-01
3.600000000000000000e+01,4.780815839767456055e-01,4.902862310409545898e-01
3.700000000000000000e+01,4.646096229553222656e-01,4.781745076179504395e-01
3.800000000000000000e+01,4.507925510406494141e-01,4.659189879894256592e-01
3.900000000000000000e+01,4.367095828056335449e-01,4.536036849021911621e-01
4.000000000000000000e+01,4.224763214588165283e-01,4.412834048271179199e-01
4.100000000000000000e+01,4.081439673900604248e-01,4.289187788963317871e-01
4.200000000000000000e+01,3.937293291091918945e-01,4.167707860469818115e-01
4.300000000000000000e+01,3.793372511863708496e-01,4.049594104290008545e-01
4.400000000000000000e+01,3.651782274246215820e-01,3.936404287815093994e-01
4.500000000000000000e+01,3.514744937419891357e-01,3.828598558902740479e-01
4.600000000000000000e+01,3.382130265235900879e-01,3.725846409797668457e-01
4.700000000000000000e+01,3.254012763500213623e-01,3.628202974796295166e-01
4.800000000000000000e+01,3.130964040756225586e-01,3.535034954547882080e-01
4.900000000000000000e+01,3.013380765914916992e-01,3.446638584136962891e-01
5.000000000000000000e+01,2.901548147201538086e-01,3.364504873752593994e-01
5.100000000000000000e+01,2.795432209968566895e-01,3.286211490631103516e-01
5.200000000000000000e+01,2.694973945617675781e-01,3.208461105823516846e-01
5.300000000000000000e+01,2.599943578243255615e-01,3.133397698402404785e-01
5.400000000000000000e+01,2.510363757610321045e-01,3.066353797912597656e-01
5.500000000000000000e+01,2.426778674125671387e-01,3.009183406829833984e-01
5.600000000000000000e+01,2.349685579538345337e-01,2.959240376949310303e-01
5.700000000000000000e+01,2.279483973979949951e-01,2.912915349006652832e-01
5.800000000000000000e+01,2.216015607118606567e-01,2.870465517044067383e-01
5.900000000000000000e+01,2.159040123224258423e-01,2.832882702350616455e-01
6.000000000000000000e+01,2.108432352542877197e-01,2.799567282199859619e-01
6.100000000000000000e+01,2.063423395156860352e-01,2.768892049789428711e-01
6.200000000000000000e+01,2.022896111011505127e-01,2.742401957511901855e-01
6.300000000000000000e+01,1.986624747514724731e-01,2.719985246658325195e-01
6.400000000000000000e+01,1.954258084297180176e-01,2.702197134494781494e-01
6.500000000000000000e+01,1.924954354763031006e-01,2.688406705856323242e-01
6.600000000000000000e+01,1.898297667503356934e-01,2.678006291389465332e-01
6.700000000000000000e+01,1.873845905065536499e-01,2.670759558677673340e-01
6.800000000000000000e+01,1.850922405719757080e-01,2.666686177253723145e-01
6.900000000000000000e+01,1.829382181167602539e-01,2.660812735557556152e-01
7.000000000000000000e+01,1.808877289295196533e-01,2.648957669734954834e-01
7.100000000000000000e+01,1.788582503795623779e-01,2.638794183731079102e-01
7.200000000000000000e+01,1.768268942832946777e-01,2.630293667316436768e-01
7.300000000000000000e+01,1.748609393835067749e-01,2.620732486248016357e-01
7.400000000000000000e+01,1.729597300291061401e-01,2.608849108219146729e-01
7.500000000000000000e+01,1.710320115089416504e-01,2.593698501586914062e-01
7.600000000000000000e+01,1.691378355026245117e-01,2.578499913215637207e-01
7.700000000000000000e+01,1.673026382923126221e-01,2.564694583415985107e-01
7.800000000000000000e+01,1.655640751123428345e-01,2.551038563251495361e-01
7.900000000000000000e+01,1.638407707214355469e-01,2.538836002349853516e-01
8.000000000000000000e+01,1.622225940227508545e-01,2.526604235172271729e-01
