# epoch,loss,loss_val
0.000000000000000000e+00,7.351375818252563477e-01,7.051489949226379395e-01
1.000000000000000000e+00,7.335069179534912109e-01,7.044656276702880859e-01
2.000000000000000000e+00,7.318915724754333496e-01,7.038013339042663574e-01
3.000000000000000000e+00,7.302757501602172852e-01,7.031248211860656738e-01
4.000000000000000000e+00,7.287054061889648438e-01,7.025510072708129883e-01
5.000000000000000000e+00,7.272707819938659668e-01,7.019786238670349121e-01
6.000000000000000000e+00,7.258474230766296387e-01,7.013715505599975586e-01
7.000000000000000000e+00,7.243750691413879395e-01,7.010192871093750000e-01
8.000000000000000000e+00,7.232917547225952148e-01,7.008588314056396484e-01
9.000000000000000000e+00,7.224816083908081055e-01,7.004322409629821777e-01
1.000000000000000000e+01,7.214733362197875977e-01,6.999964118003845215e-01
1.100000000000000000e+01,7.204312086105346680e-01,6.995592713356018066e-01
1.200000000000000000e+01,7.193657159805297852e-01,6.990756392478942871e-01
1.300000000000000000e+01,7.182317376136779785e-01,6.985556483268737793e-01
1.400000000000000000e+01,7.170234918594360352e-01,6.978496313095092773e-01
1.500000000000000000e+01,7.155538201332092285e-01,6.970230340957641602e-01
1.600000000000000000e+01,7.138579487800598145e-01,6.962349414825439453e-01
1.700000000000000000e+01,7.120314836502075195e-01,6.953274607658386230e-01
1.800000000000000000e+01,7.099856138229370117e-01,6.943117976188659668e-01
1.900000000000000000e+01,7.077725529670715332e-01,6.932489275932312012e-01
2.000000000000000000e+01,7.054333090782165527e-01,6.921593546867370605e-01
2.100000000000000000e+01,7.029730081558227539e-01,6.910030245780944824e-01
2.200000000000000000e+01,7.003468275070190430e-01,6.898031830787658691e-01
2.300000000000000000e+01,6.975842714309692383e-01,6.885660290718078613e-01
2.400000000000000000e+01,6.946699023246765137e-01,6.872407793998718262e-01
2.500000000000000000e+01,6.915563344955444336e-01,6.858170628547668457e-01
2.600000000000000000e+01,6.882305145263671875e-01,6.843087673187255859e-01
2.700000000000000000e+01,6.846935749053955078e-01,6.827139258384704590e-01
2.800000000000000000e+01,6.809396147727966309e-01,6.810373663902282715e-01
2.900000000000000000e+01,6.769639849662780762e-01,6.793169379234313965e-01
3.000000000000000000e+01,6.727836728096008301e-01,6.774449944496154785e-01
3.100000000000000000e+01,6.683505773544311523e-01,6.755316853523254395e-01
3.200000000000000000e+01,6.637087464332580566e-01,6.735719442367553711e-01
3.300000000000000000e+01,6.588516235351562500e-01,6.715793609619140625e-01
3.400000000000000000e+01,6.537870168685913086e-01,6.695783138275146484e-01
3.500000000000000000e+01,6.485403776168823242e-01,6.675580739974975586e-01
3.600000000000000000e+01,6.431048512458801270e-01,6.655201315879821777e-01
3.700000000000000000e+01,6.374589800834655762e-01,6.635101437568664551e-01
3.800000000000000000e+01,6.316522955894470215e-01,6.615397334098815918e-01
3.900000000000000000e+01,6.257221698760986328e-01,6.596441864967346191e-01
4.000000000000000000e+01,6.197201013565063477e-01,6.578466296195983887e-01
4.100000000000000000e+01,6.136929392814636230e-01,6.561729311943054199e-01
4.200000000000000000e+01,6.076868176460266113e-01,6.546231508255004883e-01
4.300000000000000000e+01,6.017492413520812988e-01,6.532497406005859375e-01
4.400000000000000000e+01,5.959534645080566406e-01,6.520162224769592285e-01
4.500000000000000000e+01,5.903259515762329102e-01,6.508954763412475586e-01
4.600000000000000000e+01,5.849146842956542969e-01,6.499039530754089355e-01
4.700000000000000000e+01,5.797674655914306641e-01,6.488985419273376465e-01
4.800000000000000000e+01,5.748642086982727051e-01,6.478622555732727051e-01
4.900000000000000000e+01,5.702421665191650391e-01,6.466916203498840332e-01
5.000000000000000000e+01,5.658749938011169434e-01,6.452356576919555664e-01
5.100000000000000000e+01,5.617260336875915527e-01,6.433838009834289551e-01
5.200000000000000000e+01,5.577318072319030762e-01,6.409565210342407227e-01
5.300000000000000000e+01,5.538036227226257324e-01,6.378183960914611816e-01
5.400000000000000000e+01,5.498708486557006836e-01,6.338232755661010742e-01
5.500000000000000000e+01,5.458174347877502441e-01,6.289924979209899902e-01
5.600000000000000000e+01,5.416325330734252930e-01,6.232099533081054688e-01
5.700000000000000000e+01,5.371985435485839844e-01,6.164831519126892090e-01
5.800000000000000000e+01,5.324762463569641113e-01,6.088058352470397949e-01
5.900000000000000000e+01,5.274338126182556152e-01,6.002702713012695312e-01
6.000000000000000000e+01,5.220874547958374023e-01,5.910844802856445312e-01
6.100000000000000000e+01,5.165289044380187988e-01,5.811896920204162598e-01
6.200000000000000000e+01,5.107044577598571777e-01,5.706726908683776855e-01
6.300000000000000000e+01,5.046364068984985352e-01,5.597731471061706543e-01
6.400000000000000000e+01,4.984374940395355225e-01,5.487073063850402832e-01
6.500000000000000000e+01,4.921787977218627930e-01,5.371194481849670410e-01
6.600000000000000000e+01,4.856299459934234619e-01,5.251437425613403320e-01
6.700000000000000000e+01,4.788593351840972900e-01,5.130099654197692871e-01
6.800000000000000000e+01,4.719572961330413818e-01,5.008785724639892578e-01
6.900000000000000000e+01,4.649852216243743896e-01,4.889561831951141357e-01
7.000000000000000000e+01,4.580733180046081543e-01,4.773174822330474854e-01
7.100000000000000000e+01,4.512651562690734863e-01,4.661449790000915527e-01
7.200000000000000000e+01,4.446241855621337891e-01,4.552622437477111816e-01
7.300000000000000000e+01,4.380212724208831787e-01,4.478683769702911377e-01
7.400000000000000000e+01,4.332492053508758545e-01,4.416251778602600098e-01
7.500000000000000000e+01,4.288164973258972168e-01,4.346739649772644043e-01
7.600000000000000000e+01,4.237643182277679443e-01,4.270148277282714844e-01
7.700000000000000000e+01,4.183412194252014160e-01,4.189659059047698975e-01
7.800000000000000000e+01,4.128861129283905029e-01,4.106700122356414795e-01
7.900000000000000000e+01,4.076508283615112305e-01,4.024555087089538574e-01
8.000000000000000000e+01,4.028767943382263184e-01,3.948007225990295410e-01
