# epoch,loss,loss_val
0.000000000000000000e+00,6.765147447586059570e-01,6.541950106620788574e-01
1.000000000000000000e+00,6.747496128082275391e-01,6.515432596206665039e-01
2.000000000000000000e+00,6.731511950492858887e-01,6.491717696189880371e-01
3.000000000000000000e+00,6.716873049736022949e-01,6.470066308975219727e-01
4.000000000000000000e+00,6.702816486358642578e-01,6.449474096298217773e-01
5.000000000000000000e+00,6.687782406806945801e-01,6.429302692413330078e-01
6.000000000000000000e+00,6.671684384346008301e-01,6.408466100692749023e-01
7.000000000000000000e+00,6.653854846954345703e-01,6.384382247924804688e-01
8.000000000000000000e+00,6.632977128028869629e-01,6.357971429824829102e-01
9.000000000000000000e+00,6.609209179878234863e-01,6.330042481422424316e-01
1.000000000000000000e+01,6.583394408226013184e-01,6.302947998046875000e-01
1.100000000000000000e+01,6.556269526481628418e-01,6.276848316192626953e-01
1.200000000000000000e+01,6.527444720268249512e-01,6.249448060989379883e-01
1.300000000000000000e+01,6.497222185134887695e-01,6.218615770339965820e-01
1.400000000000000000e+01,6.464571952819824219e-01,6.181789636611938477e-01
1.500000000000000000e+01,6.428401470184326172e-01,6.138942241668701172e-01
1.600000000000000000e+01,6.388459801673889160e-01,6.091357469558715820e-01
1.700000000000000000e+01,6.345154047012329102e-01,6.041095256805419922e-01
1.800000000000000000e+01,6.299078464508056641e-01,5.988601446151733398e-01
1.900000000000000000e+01,6.249898672103881836e-01,5.934230089187622070e-01
2.000000000000000000e+01,6.196527481079101562e-01,5.877727270126342773e-01
2.100000000000000000e+01,6.138539910316467285e-01,5.817562341690063477e-01
2.200000000000000000e+01,6.076279878616333008e-01,5.752276182174682617e-01
2.300000000000000000e+01,6.009144186973571777e-01,5.680292844772338867e-01
2.400000000000000000e+01,5.936880111694335938e-01,5.599771142005920410e-01
2.500000000000000000e+01,5.858852863311767578e-01,5.510003566741943359e-01
2.600000000000000000e+01,5.774520039558410645e-01,5.412008166313171387e-01
2.700000000000000000e+01,5.683649778366088867e-01,5.307273864746093750e-01
2.800000000000000000e+01,5.586035251617431641e-01,5.197011232376098633e-01
2.900000000000000000e+01,5.481336712837219238e-01,5.081814527511596680e-01
3.000000000000000000e+01,5.368952155113220215e-01,4.961565434932708740e-01
3.100000000000000000e+01,5.248692035675048828e-01,4.833498001098632812e-01
3.200000000000000000e+01,5.120552182197570801e-01,4.697036147117614746e-01
3.300000000000000000e+01,4.984567463397979736e-01,4.552373886108398438e-01
3.400000000000000000e+01,4.841113686561584473e-01,4.399333000183105469e-01
3.500000000000000000e+01,4.690418839454650879e-01,4.239059984683990479e-01
3.600000000000000000e+01,4.533269107341766357e-01,4.073875546455383301e-01
3.700000000000000000e+01,4.371463656425476074e-01,3.907405734062194824e-01
3.800000000000000000e+01,4.207018017768859863e-01,3.743819594383239746e-01
3.900000000000000000e+01,4.042852222919464111e-01,3.585454225540161133e-01
4.000000000000000000e+01,3.878313899040222168e-01,3.430734872817993164e-01
4.100000000000000000e+01,3.714243471622467041e-01,3.280704021453857422e-01
4.200000000000000000e+01,3.551837801933288574e-01,3.132067024707794189e-01
4.300000000000000000e+01,3.392533063888549805e-01,2.986874580383300781e-01
4.400000000000000000e+01,3.237703442573547363e-01,2.844246923923492432e-01
4.500000000000000000e+01,3.089001774787902832e-01,2.707514166831970215e-01
