# epoch,loss,loss_val
0.000000000000000000e+00,6.791478395462036133e-01,6.442227363586425781e-01
1.000000000000000000e+00,6.775677204132080078e-01,6.413276195526123047e-01
2.000000000000000000e+00,6.761307120323181152e-01,6.387362480163574219e-01
3.000000000000000000e+00,6.747907996177673340e-01,6.364264488220214844e-01
4.000000000000000000e+00,6.735442280769348145e-01,6.343371868133544922e-01
5.000000000000000000e+00,6.722170114517211914e-01,6.323449015617370605e-01
6.000000000000000000e+00,6.707690358161926270e-01,6.304757595062255859e-01
7.000000000000000000e+00,6.692553162574768066e-01,6.285725235939025879e-01
8.000000000000000000e+00,6.674490571022033691e-01,6.262952089309692383e-01
9.000000000000000000e+00,6.651410460472106934e-01,6.238141059875488281e-01
1.000000000000000000e+01,6.626003980636596680e-01,6.214927434921264648e-01
1.100000000000000000e+01,6.601541638374328613e-01,6.195475459098815918e-01
1.200000000000000000e+01,6.576104760169982910e-01,6.177189350128173828e-01
1.300000000000000000e+01,6.547952890396118164e-01,6.157201528549194336e-01
1.400000000000000000e+01,6.517738103866577148e-01,6.130924820899963379e-01
1.500000000000000000e+01,6.485027074813842773e-01,6.097717881202697754e-01
1.600000000000000000e+01,6.448757648468017578e-01,6.057528853416442871e-01
1.700000000000000000e+01,6.409059762954711914e-01,6.012958884239196777e-01
1.800000000000000000e+01,6.366760730743408203e-01,5.966014266014099121e-01
1.900000000000000000e+01,6.321702599525451660e-01,5.918716192245483398e-01
2.000000000000000000e+01,6.272828578948974609e-01,5.872220993041992188e-01
2.100000000000000000e+01,6.219363212585449219e-01,5.825939178466796875e-01
2.200000000000000000e+01,6.161187291145324707e-01,5.777150392532348633e-01
2.300000000000000000e+01,6.097912788391113281e-01,5.723301172256469727e-01
2.400000000000000000e+01,6.029027700424194336e-01,5.660955905914306641e-01
2.500000000000000000e+01,5.953742265701293945e-01,5.588071942329406738e-01
2.600000000000000000e+01,5.871774554252624512e-01,5.503373146057128906e-01
2.700000000000000000e+01,5.782570838928222656e-01,5.407537817955017090e-01
2.800000000000000000e+01,5.685871839523315430e-01,5.302280187606811523e-01
2.900000000000000000e+01,5.581957697868347168e-01,5.192507505416870117e-01
3.000000000000000000e+01,5.470111370086669922e-01,5.080285072326660156e-01
3.100000000000000000e+01,5.349221229553222656e-01,4.968034029006958008e-01
3.200000000000000000e+01,5.219933986663818359e-01,4.855520129203796387e-01
3.300000000000000000e+01,5.083088278770446777e-01,4.741827547550201416e-01
3.400000000000000000e+01,4.939034879207611084e-01,4.624882936477661133e-01
3.500000000000000000e+01,4.788426458835601807e-01,4.503995478153228760e-01
3.600000000000000000e+01,4.633197188377380371e-01,4.380084872245788574e-01
3.700000000000000000e+01,4.473446011543273926e-01,4.255959987640380859e-01
3.800000000000000000e+01,4.309356212615966797e-01,4.133455753326416016e-01
3.900000000000000000e+01,4.141383767127990723e-01,4.015169143676757812e-01
4.000000000000000000e+01,3.970994353294372559e-01,3.900939226150512695e-01
4.100000000000000000e+01,3.799790441989898682e-01,3.790017068386077881e-01
4.200000000000000000e+01,3.629885613918304443e-01,3.680063486099243164e-01
4.300000000000000000e+01,3.462448716163635254e-01,3.571924865245819092e-01
4.400000000000000000e+01,3.298578262329101562e-01,3.467378914356231689e-01
4.500000000000000000e+01,3.139553070068359375e-01,3.367204964160919189e-01
4.600000000000000000e+01,2.986859977245330811e-01,3.275440335273742676e-01
4.700000000000000000e+01,2.841556668281555176e-01,3.195192217826843262e-01
4.800000000000000000e+01,2.704949080944061279e-01,3.125033974647521973e-01
4.900000000000000000e+01,2.577927410602569580e-01,3.063318133354187012e-01
5.000000000000000000e+01,2.460915744304656982e-01,3.010318875312805176e-01
5.100000000000000000e+01,2.354579716920852661e-01,2.961953878402709961e-01
5.200000000000000000e+01,2.259023785591125488e-01,2.917101383209228516e-01
5.300000000000000000e+01,2.174113988876342773e-01,2.875573337078094482e-01
5.400000000000000000e+01,2.099432349205017090e-01,2.840530872344970703e-01
5.500000000000000000e+01,2.034366428852081299e-01,2.813920974731445312e-01
5.600000000000000000e+01,1.978032439947128296e-01,2.795076072216033936e-01
5.700000000000000000e+01,1.929422616958618164e-01,2.781670093536376953e-01
5.800000000000000000e+01,1.887492239475250244e-01,2.770864963531494141e-01
5.900000000000000000e+01,1.851152181625366211e-01,2.760820686817169189e-01
6.000000000000000000e+01,1.819378435611724854e-01,2.750199735164642334e-01
6.100000000000000000e+01,1.791050583124160767e-01,2.741188704967498779e-01
6.200000000000000000e+01,1.765296906232833862e-01,2.734937071800231934e-01
6.300000000000000000e+01,1.741530895233154297e-01,2.733182907104492188e-01
6.400000000000000000e+01,1.718838065862655640e-01,2.731528282165527344e-01
6.500000000000000000e+01,1.696696430444717407e-01,2.725600600242614746e-01
6.600000000000000000e+01,1.674689054489135742e-01,2.719572484493255615e-01
6.700000000000000000e+01,1.652323752641677856e-01,2.711496949195861816e-01
6.800000000000000000e+01,1.629690676927566528e-01,2.701103687286376953e-01
6.900000000000000000e+01,1.606924831867218018e-01,2.690693140029907227e-01
7.000000000000000000e+01,1.584203690290451050e-01,2.681978940963745117e-01
7.100000000000000000e+01,1.561594456434249878e-01,2.675552666187286377e-01
7.200000000000000000e+01,1.539280861616134644e-01,2.672496438026428223e-01
7.300000000000000000e+01,1.517476141452789307e-01,2.670445144176483154e-01
7.400000000000000000e+01,1.496436744928359985e-01,2.667071521282196045e-01
7.500000000000000000e+01,1.476368755102157593e-01,2.659939825534820557e-01
7.600000000000000000e+01,1.456719636917114258e-01,2.648948431015014648e-01
7.700000000000000000e+01,1.437777578830718994e-01,2.637574970722198486e-01
7.800000000000000000e+01,1.419649571180343628e-01,2.626733183860778809e-01
7.900000000000000000e+01,1.402153819799423218e-01,2.621171772480010986e-01
8.000000000000000000e+01,1.385264545679092407e-01,2.619402408599853516e-01
8.100000000000000000e+01,1.368587762117385864e-01,2.615551948547363281e-01
8.200000000000000000e+01,1.352024227380752563e-01,2.605943977832794189e-01
8.300000000000000000e+01,1.335644125938415527e-01,2.589608430862426758e-01
8.400000000000000000e+01,1.319603919982910156e-01,2.574307024478912354e-01
8.500000000000000000e+01,1.303685456514358521e-01,2.563282847404479980e-01
8.600000000000000000e+01,1.288154423236846924e-01,2.557313144207000732e-01
8.700000000000000000e+01,1.273408383131027222e-01,2.553151845932006836e-01
8.800000000000000000e+01,1.259611696004867554e-01,2.550207078456878662e-01
8.900000000000000000e+01,1.246327385306358337e-01,2.547309696674346924e-01
9.000000000000000000e+01,1.233900263905525208e-01,2.544836699962615967e-01
9.100000000000000000e+01,1.221914365887641907e-01,2.543441057205200195e-01
9.200000000000000000e+01,1.210137158632278442e-01,2.545690238475799561e-01
9.300000000000000000e+01,1.198227480053901672e-01,2.552962005138397217e-01
9.400000000000000000e+01,1.185915246605873108e-01,2.562457919120788574e-01
9.500000000000000000e+01,1.173394396901130676e-01,2.572175264358520508e-01
9.600000000000000000e+01,1.160902902483940125e-01,2.578498423099517822e-01
9.700000000000000000e+01,1.148467287421226501e-01,2.583096921443939209e-01
9.800000000000000000e+01,1.135907545685768127e-01,2.591629326343536377e-01
