SN,true_label,prediction,modality,kfold_of_pred
ZTF19aadwtoe_0,0,0.0,lightcurveandspectral,1
ZTF19aadwtoe_1,0,0.0,lightcurve,1
ZTF19aadwtoe_1,0,0.0,spectral,1
ZTF19aadwtoe_1,0,0.0,lightcurveandspectral,1
ZTF19aalouag_0,0,1.0,lightcurve,1
ZTF19aalouag_0,0,1.0,spectral,1
ZTF19aalouag_0,0,1.0,lightcurveandspectral,1
ZTF19aamsetj_0,1,0.0,lightcurve,1
ZTF19aamsetj_0,1,0.0,spectral,1
ZTF19aamsetj_0,1,0.0,lightcurveandspectral,1
ZTF19aanijpu_0,1,1.0,lightcurve,1
ZTF19aanijpu_0,1,1.0,spectral,1
ZTF19aanijpu_0,1,1.0,lightcurveandspectral,1
ZTF19aapceyj_0,0,1.0,lightcurve,1
ZTF19aapceyj_0,0,1.0,spectral,1
ZTF19aapceyj_0,0,1.0,lightcurveandspectral,1
ZTF19aapfmki_0,0,1.0,lightcurve,1
ZTF19aapfmki_0,0,1.0,spectral,1
ZTF19aapfmki_0,0,1.0,lightcurveandspectral,1
ZTF19aarfyvc_0,0,0.0,lightcurve,1
ZTF19aarfyvc_0,0,1.0,spectral,1
ZTF19aarfyvc_0,0,1.0,lightcurveandspectral,1
ZTF19aarnqys_0,0,0.0,lightcurve,1
ZTF19aarnqys_0,0,1.0,spectral,1
ZTF19aarnqys_0,0,0.0,lightcurveandspectral,1
ZTF19aatheus_0,0,1.0,lightcurve,1
ZTF19aatheus_0,0,0.0,spectral,1
ZTF19aatheus_0,0,1.0,lightcurveandspectral,1
ZTF19aavoweu_0,0,1.0,lightcurve,1
ZTF19aavoweu_0,0,0.0,spectral,1
ZTF19aavoweu_0,0,1.0,lightcurveandspectral,1
ZTF20aahggbm_2,0,0.0,lightcurve,2
ZTF20aahggbm_2,0,0.0,spectral,2
ZTF20aahggbm_2,0,0.0,lightcurveandspectral,2
ZTF20aaiftgi_0,0,1.0,lightcurve,2
ZTF20aaiftgi_0,0,1.0,spectral,2
ZTF20aaiftgi_0,0,1.0,lightcurveandspectral,2
ZTF20aakodyh_0,0,0.0,lightcurve,2
ZTF20aakodyh_0,0,0.0,spectral,2
ZTF20aakodyh_0,0,0.0,lightcurveandspectral,2
ZTF20aalcyih_0,0,0.0,lightcurve,2
ZTF20aalcyih_0,0,1.0,spectral,2
ZTF20aalcyih_0,0,0.0,lightcurveandspectral,2
ZTF20aalrqbu_0,1,1.0,lightcurve,2
ZTF20aalrqbu_0,1,0.0,spectral,2
ZTF20aalrqbu_0,1,0.0,lightcurveandspectral,2
ZTF20aalrqbu_1,1,1.0,lightcurve,2
ZTF20aalrqbu_1,1,1.0,spectral,2
ZTF20aalrqbu_1,1,1.0,lightcurveandspectral,2
ZTF20aalrqbu_2,1,1.0,lightcurve,2
ZTF20aalrqbu_2,1,1.0,spectral,2
ZTF20aalrqbu_2,1,1.0,lightcurveandspectral,2
ZTF20aalrqbu_3,1,1.0,lightcurve,2
ZTF20aalrqbu_3,1,1.0,spectral,2
ZTF20aalrqbu_3,1,1.0,lightcurveandspectral,2
ZTF20aalrqbu_4,1,1.0,lightcurve,2
ZTF20aalrqbu_4,1,1.0,spectral,2
ZTF20aalrqbu_4,1,1.0,lightcurveandspectral,2
ZTF20aalrqbu_5,1,1.0,lightcurve,2
ZTF20aalrqbu_5,1,0.0,spectral,2
ZTF20aalrqbu_5,1,1.0,lightcurveandspectral,2
ZTF20aammtwx_0,0,0.0,lightcurve,2
ZTF20aammtwx_0,0,1.0,spectral,2
ZTF20aammtwx_0,0,0.0,lightcurveandspectral,2
ZTF20aaurfnl_0,0,1.0,lightcurve,2
ZTF20aaurfnl_0,0,1.0,spectral,2
ZTF20aaurfnl_0,0,1.0,lightcurveandspectral,2
ZTF20aauwhfa_0,0,0.0,lightcurve,2
ZTF20aauwhfa_0,0,1.0,spectral,2
ZTF20aauwhfa_0,0,1.0,lightcurveandspectral,2
ZTF20aavzffg_0,0,1.0,lightcurve,2
ZTF20aavzffg_0,0,1.0,spectral,2
ZTF20aavzffg_0,0,1.0,lightcurveandspectral,2
ZTF20abbhrrt_0,0,1.0,lightcurve,2
ZTF20abbhrrt_0,0,0.0,spectral,2
ZTF20abbhrrt_0,0,1.0,lightcurveandspectral,2
ZTF20abeezca_0,0,1.0,lightcurve,2
ZTF20abeezca_0,0,1.0,spectral,2
ZTF20abeezca_0,0,1.0,lightcurveandspectral,2
ZTF20abkiarz_0,0,0.0,lightcurve,2
ZTF20abkiarz_0,0,0.0,spectral,2
ZTF20abkiarz_0,0,0.0,lightcurveandspectral,2
ZTF20abtkjfw_0,0,0.0,lightcurve,2
ZTF20abtkjfw_0,0,1.0,spectral,2
ZTF20abtkjfw_0,0,0.0,lightcurveandspectral,2
ZTF20abxpoxd_0,1,1.0,lightcurve,2
ZTF20abxpoxd_0,1,0.0,spectral,2
ZTF20abxpoxd_0,1,0.0,lightcurveandspectral,2
ZTF20acfqngt_0,0,0.0,lightcurve,2
ZTF20acfqngt_0,0,1.0,spectral,2
ZTF20acfqngt_0,0,0.0,lightcurveandspectral,2
ZTF20acgiglu_0,1,0.0,lightcurve,2
ZTF20acgiglu_0,1,0.0,spectral,2
ZTF20acgiglu_0,1,0.0,lightcurveandspectral,2
ZTF20aclnplo_0,1,0.0,lightcurve,2
ZTF20aclnplo_0,1,0.0,spectral,2
ZTF20aclnplo_0,1,0.0,lightcurveandspectral,2
ZTF20actpqgc_0,0,1.0,lightcurve,2
ZTF20actpqgc_0,0,0.0,spectral,2
ZTF20actpqgc_0,0,0.0,lightcurveandspectral,2
ZTF20adadlqm_0,1,0.0,lightcurve,2
ZTF20adadlqm_0,1,1.0,spectral,2
ZTF20adadlqm_0,1,0.0,lightcurveandspectral,2
ZTF19aawethv_0,0,0.0,lightcurve,3
ZTF19aawethv_0,0,0.0,spectral,3
ZTF19aawethv_0,0,0.0,lightcurveandspectral,3
ZTF19aayejww_0,1,0.0,lightcurve,3
ZTF19aayejww_0,1,0.0,spectral,3
ZTF19aayejww_0,1,0.0,lightcurveandspectral,3
ZTF19aayejww_1,1,0.0,lightcurve,3
ZTF19aayejww_1,1,1.0,spectral,3
ZTF19aayejww_1,1,0.0,lightcurveandspectral,3
ZTF19aayejww_2,1,0.0,lightcurve,3
ZTF19aayejww_2,1,0.0,spectral,3
ZTF19aayejww_2,1,1.0,lightcurveandspectral,3
ZTF19aayejww_3,1,0.0,lightcurve,3
ZTF19aayejww_3,1,0.0,spectral,3
ZTF19aayejww_3,1,0.0,lightcurveandspectral,3
ZTF19aayejww_4,1,0.0,lightcurve,3
ZTF19aayejww_4,1,0.0,spectral,3
ZTF19aayejww_4,1,1.0,lightcurveandspectral,3
ZTF19aayejww_5,1,0.0,lightcurve,3
ZTF19aayejww_5,1,0.0,spectral,3
ZTF19aayejww_5,1,1.0,lightcurveandspectral,3
ZTF19aaznwze_0,1,0.0,lightcurve,3
ZTF19aaznwze_0,1,0.0,spectral,3
ZTF19aaznwze_0,1,0.0,lightcurveandspectral,3
ZTF19abafmwj_0,0,0.0,lightcurve,3
ZTF19abafmwj_0,0,1.0,spectral,3
ZTF19abafmwj_0,0,1.0,lightcurveandspectral,3
ZTF19abcyqqg_0,0,0.0,lightcurve,3
ZTF19abcyqqg_0,0,0.0,spectral,3
ZTF19abcyqqg_0,0,1.0,lightcurveandspectral,3
ZTF19abfiqjg_0,0,0.0,lightcurve,3
ZTF19abfiqjg_0,0,0.0,spectral,3
ZTF19abfiqjg_0,0,0.0,lightcurveandspectral,3
ZTF19abqmsnk_0,0,0.0,lightcurve,3
ZTF19abqmsnk_0,0,0.0,spectral,3
ZTF19abqmsnk_0,0,0.0,lightcurveandspectral,3
ZTF19abvdgqo_0,0,0.0,lightcurve,3
ZTF19abvdgqo_0,0,1.0,spectral,3
ZTF19abvdgqo_0,0,0.0,lightcurveandspectral,3
ZTF19abxtcio_0,0,0.0,lightcurve,3
ZTF19abxtcio_0,0,1.0,spectral,3
ZTF19abxtcio_0,0,0.0,lightcurveandspectral,3
ZTF19aceshib_0,0,0.0,lightcurve,3
ZTF19aceshib_0,0,0.0,spectral,3
ZTF19aceshib_0,0,0.0,lightcurveandspectral,3
ZTF19ackjjwf_0,0,0.0,lightcurve,3
ZTF19ackjjwf_0,0,1.0,spectral,3
ZTF19ackjjwf_0,0,0.0,lightcurveandspectral,3
ZTF19ackjszs_0,1,1.0,lightcurve,3
ZTF19ackjszs_0,1,0.0,spectral,3
ZTF19ackjszs_0,1,1.0,lightcurveandspectral,3
ZTF19ackjszs_1,1,1.0,lightcurve,3
ZTF19ackjszs_1,1,0.0,spectral,3
ZTF19ackjszs_1,1,1.0,lightcurveandspectral,3
ZTF19ackjszs_2,1,1.0,lightcurve,3
ZTF19ackjszs_2,1,0.0,spectral,3
ZTF19ackjszs_2,1,1.0,lightcurveandspectral,3
ZTF19acmelor_0,0,0.0,lightcurve,3
ZTF19acmelor_0,0,0.0,spectral,3
ZTF19acmelor_0,0,1.0,lightcurveandspectral,3
ZTF19acxpuql_0,1,1.0,lightcurve,3
ZTF19acxpuql_0,1,1.0,spectral,3
ZTF19acxpuql_0,1,1.0,lightcurveandspectral,3
ZTF20aaekkuv_0,0,1.0,lightcurve,3
ZTF20aaekkuv_0,0,0.0,spectral,3
ZTF20aaekkuv_0,0,1.0,lightcurveandspectral,3
ZTF20aaerxne_0,0,1.0,lightcurve,3
ZTF20aaerxne_0,0,0.0,spectral,3
ZTF20aaerxne_0,0,1.0,lightcurveandspectral,3
ZTF20aahggbm_0,0,0.0,lightcurve,3
ZTF20aahggbm_0,0,0.0,spectral,3
ZTF20aahggbm_0,0,0.0,lightcurveandspectral,3
ZTF20aahggbm_1,0,0.0,lightcurve,3
ZTF20aahggbm_1,0,0.0,spectral,3
ZTF20aahggbm_1,0,0.0,lightcurveandspectral,3
ZTF21aaaosoq_0,0,1.0,lightcurve,4
ZTF21aaaosoq_0,0,0.0,spectral,4
ZTF21aaaosoq_0,0,0.0,lightcurveandspectral,4
ZTF21aaaosoq_1,0,1.0,lightcurve,4
ZTF21aaaosoq_1,0,0.0,spectral,4
ZTF21aaaosoq_1,0,0.0,lightcurveandspectral,4
ZTF21aahdqrg_0,0,1.0,lightcurve,4
ZTF21aahdqrg_0,0,0.0,spectral,4
ZTF21aahdqrg_0,0,0.0,lightcurveandspectral,4
ZTF21aarnjyd_0,1,1.0,lightcurve,4
ZTF21aarnjyd_0,1,0.0,spectral,4
ZTF21aarnjyd_0,1,0.0,lightcurveandspectral,4
ZTF21aaxtctv_0,0,1.0,lightcurve,4
ZTF21aaxtctv_0,0,0.0,spectral,4
ZTF21aaxtctv_0,0,1.0,lightcurveandspectral,4
ZTF21aaxxmvs_0,0,0.0,lightcurve,4
ZTF21aaxxmvs_0,0,1.0,spectral,4
ZTF21aaxxmvs_0,0,1.0,lightcurveandspectral,4
ZTF21aayddkn_0,0,0.0,lightcurve,4
ZTF21aayddkn_0,0,1.0,spectral,4
ZTF21aayddkn_0,0,1.0,lightcurveandspectral,4
ZTF21aayfnjz_0,0,0.0,lightcurve,4
ZTF21aayfnjz_0,0,0.0,spectral,4
ZTF21aayfnjz_0,0,0.0,lightcurveandspectral,4
