SN,true_label,prediction,modality,kfold_of_pred
ZTF18aahhzqn_0,0,0.0,spectral,1
ZTF18aahhzqn_0,0,0.0,lightcurveandspectral,1
ZTF18aahuujv_0,0,0.0,lightcurve,1
ZTF18aahuujv_0,0,0.0,spectral,1
ZTF18aahuujv_0,0,0.0,lightcurveandspectral,1
ZTF18absliyc_0,0,0.0,lightcurve,1
ZTF18absliyc_0,0,0.0,spectral,1
ZTF18absliyc_0,0,0.0,lightcurveandspectral,1
ZTF18acisruf_0,0,0.0,lightcurve,1
ZTF18acisruf_0,0,0.0,spectral,1
ZTF18acisruf_0,0,0.0,lightcurveandspectral,1
ZTF18acnmifq_0,0,0.0,lightcurve,1
ZTF18acnmifq_0,0,0.0,spectral,1
ZTF18acnmifq_0,0,0.0,lightcurveandspectral,1
ZTF18acrcyqw_0,0,0.0,lightcurve,1
ZTF18acrcyqw_0,0,0.0,spectral,1
ZTF18acrcyqw_0,0,0.0,lightcurveandspectral,1
ZTF18aczqzrj_0,0,0.0,lightcurve,1
ZTF18aczqzrj_0,0,0.0,spectral,1
ZTF18aczqzrj_0,0,0.0,lightcurveandspectral,1
ZTF19aadwtoe_0,0,0.0,lightcurve,1
ZTF19aadwtoe_0,0,0.0,spectral,1
ZTF19aadwtoe_0,0,0.0,lightcurveandspectral,1
ZTF19aadwtoe_1,0,0.0,lightcurve,1
ZTF19aadwtoe_1,0,0.0,spectral,1
ZTF19aadwtoe_1,0,0.0,lightcurveandspectral,1
ZTF19aalouag_0,0,1.0,lightcurve,1
ZTF19aalouag_0,0,0.0,spectral,1
ZTF19aalouag_0,0,0.0,lightcurveandspectral,1
ZTF19aamsetj_0,1,0.0,lightcurve,1
ZTF19aamsetj_0,1,0.0,spectral,1
ZTF19aamsetj_0,1,0.0,lightcurveandspectral,1
ZTF19aanijpu_0,0,0.0,lightcurve,1
ZTF19aanijpu_0,0,0.0,spectral,1
ZTF19aanijpu_0,0,0.0,lightcurveandspectral,1
ZTF19aarfyvc_0,0,0.0,lightcurve,1
ZTF19aarfyvc_0,0,0.0,spectral,1
ZTF19aarfyvc_0,0,0.0,lightcurveandspectral,1
ZTF19aarnqys_0,0,1.0,lightcurve,1
ZTF19aarnqys_0,0,0.0,spectral,1
ZTF19aarnqys_0,0,0.0,lightcurveandspectral,1
ZTF19aayejww_0,0,0.0,lightcurve,1
ZTF19aayejww_0,0,0.0,spectral,1
ZTF19aayejww_0,0,0.0,lightcurveandspectral,1
ZTF19aayejww_2,0,0.0,lightcurve,1
ZTF19aayejww_2,0,0.0,spectral,1
ZTF19aayejww_2,0,0.0,lightcurveandspectral,1
ZTF19abafmwj_0,0,0.0,lightcurve,1
ZTF19abafmwj_0,0,0.0,spectral,1
ZTF19abafmwj_0,0,0.0,lightcurveandspectral,1
ZTF19abqmsnk_0,0,0.0,lightcurve,1
ZTF19abqmsnk_0,0,0.0,spectral,1
ZTF19abqmsnk_0,0,0.0,lightcurveandspectral,1
ZTF19abvdgqo_0,0,0.0,lightcurve,1
ZTF19abvdgqo_0,0,0.0,spectral,1
ZTF19abvdgqo_0,0,0.0,lightcurveandspectral,1
ZTF19aceshib_0,0,0.0,lightcurve,1
ZTF19aceshib_0,0,0.0,spectral,1
ZTF19aceshib_0,0,0.0,lightcurveandspectral,1
ZTF20rscs02x_0,1,1.0,lightcurve,1
ZTF20rscs02x_0,1,1.0,spectral,1
ZTF20rscs02x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs05x_0,1,1.0,lightcurve,1
ZTF20rscs05x_0,1,1.0,spectral,1
ZTF20rscs05x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs07x_0,1,0.0,lightcurve,1
ZTF20rscs07x_0,1,1.0,spectral,1
ZTF20rscs07x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs12x_0,1,0.0,lightcurve,1
ZTF20rscs12x_0,1,1.0,spectral,1
ZTF20rscs12x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs15x_0,1,1.0,lightcurve,1
ZTF20rscs15x_0,1,1.0,spectral,1
ZTF20rscs15x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs18x_0,1,0.0,lightcurve,1
ZTF20rscs18x_0,1,1.0,spectral,1
ZTF20rscs18x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs21x_0,1,1.0,lightcurve,1
ZTF20rscs21x_0,1,1.0,spectral,1
ZTF20rscs21x_0,1,1.0,lightcurveandspectral,1
ZTF20rscs22x_0,1,0.0,lightcurve,1
ZTF20rscs22x_0,1,1.0,spectral,1
ZTF20rscs22x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws00x_0,1,1.0,lightcurve,1
ZTF20sbws00x_0,1,1.0,spectral,1
ZTF20sbws00x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws01x_0,1,1.0,lightcurve,1
ZTF20sbws01x_0,1,1.0,spectral,1
ZTF20sbws01x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws08x_0,1,1.0,lightcurve,1
ZTF20sbws08x_0,1,1.0,spectral,1
ZTF20sbws08x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws09x_0,1,1.0,lightcurve,1
ZTF20sbws09x_0,1,1.0,spectral,1
ZTF20sbws09x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws14x_0,1,1.0,lightcurve,1
ZTF20sbws14x_0,1,1.0,spectral,1
ZTF20sbws14x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws23x_0,1,0.0,lightcurve,1
ZTF20sbws23x_0,1,1.0,spectral,1
ZTF20sbws23x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws24x_0,1,0.0,lightcurve,1
ZTF20sbws24x_0,1,1.0,spectral,1
ZTF20sbws24x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws25x_0,1,0.0,lightcurve,1
ZTF20sbws25x_0,1,1.0,spectral,1
ZTF20sbws25x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws28x_0,1,1.0,lightcurve,1
ZTF20sbws28x_0,1,1.0,spectral,1
ZTF20sbws28x_0,1,1.0,lightcurveandspectral,1
ZTF20sbws29x_0,1,1.0,lightcurve,1
ZTF20sbws29x_0,1,1.0,spectral,1
ZTF20sbws29x_0,1,1.0,lightcurveandspectral,1
ZTF19ackjjwf_0,0,0.0,lightcurve,2
ZTF19ackjjwf_0,0,0.0,spectral,2
ZTF19ackjjwf_0,0,0.0,lightcurveandspectral,2
ZTF19ackjszs_0,1,1.0,lightcurve,2
ZTF19ackjszs_0,1,0.0,spectral,2
ZTF19ackjszs_0,1,0.0,lightcurveandspectral,2
ZTF19ackjszs_1,1,1.0,lightcurve,2
ZTF19ackjszs_1,1,0.0,spectral,2
ZTF19ackjszs_1,1,0.0,lightcurveandspectral,2
ZTF19ackjszs_2,1,1.0,lightcurve,2
ZTF19ackjszs_2,1,0.0,spectral,2
ZTF19ackjszs_2,1,0.0,lightcurveandspectral,2
ZTF19acmelor_0,0,0.0,lightcurve,2
ZTF19acmelor_0,0,0.0,spectral,2
ZTF19acmelor_0,0,0.0,lightcurveandspectral,2
ZTF20aaekkuv_0,0,1.0,lightcurve,2
ZTF20aaekkuv_0,0,0.0,spectral,2
ZTF20aaekkuv_0,0,0.0,lightcurveandspectral,2
ZTF20aahggbm_0,0,1.0,lightcurve,2
ZTF20aahggbm_0,0,0.0,spectral,2
ZTF20aahggbm_0,0,0.0,lightcurveandspectral,2
ZTF20aahggbm_2,0,1.0,lightcurve,2
ZTF20aahggbm_2,0,0.0,spectral,2
ZTF20aahggbm_2,0,0.0,lightcurveandspectral,2
ZTF20aakodyh_0,0,1.0,lightcurve,2
ZTF20aakodyh_0,0,0.0,spectral,2
ZTF20aakodyh_0,0,0.0,lightcurveandspectral,2
ZTF20aalcyih_0,0,1.0,lightcurve,2
ZTF20aalcyih_0,0,0.0,spectral,2
ZTF20aalcyih_0,0,0.0,lightcurveandspectral,2
ZTF20aammtwx_0,0,1.0,lightcurve,2
ZTF20aammtwx_0,0,0.0,spectral,2
ZTF20aammtwx_0,0,0.0,lightcurveandspectral,2
ZTF20aaurfnl_0,0,0.0,lightcurve,2
ZTF20aaurfnl_0,0,0.0,spectral,2
ZTF20aaurfnl_0,0,0.0,lightcurveandspectral,2
ZTF20abbhrrt_0,0,1.0,lightcurve,2
ZTF20abbhrrt_0,0,0.0,spectral,2
ZTF20abbhrrt_0,0,0.0,lightcurveandspectral,2
ZTF20abeezca_0,0,0.0,lightcurve,2
ZTF20abeezca_0,0,0.0,spectral,2
ZTF20abeezca_0,0,0.0,lightcurveandspectral,2
ZTF20abkiarz_0,0,0.0,lightcurve,2
ZTF20abkiarz_0,0,0.0,spectral,2
ZTF20abkiarz_0,0,0.0,lightcurveandspectral,2
ZTF20abxpoxd_0,0,0.0,lightcurve,2
ZTF20abxpoxd_0,0,0.0,spectral,2
