SN,true_label,prediction,modality,kfold_of_pred
ZTF19abafmwj_0,0,0.0,lightcurveandspectral,0
ZTF19abcyqqg_0,0,0.0,lightcurve,0
ZTF19abcyqqg_0,0,0.0,spectral,0
ZTF19abcyqqg_0,0,0.0,lightcurveandspectral,0
ZTF19abqmsnk_0,0,0.0,lightcurve,0
ZTF19abqmsnk_0,0,1.0,spectral,0
ZTF19abqmsnk_0,0,0.0,lightcurveandspectral,0
ZTF19abvdgqo_0,0,0.0,lightcurve,0
ZTF19abvdgqo_0,0,0.0,spectral,0
ZTF19abvdgqo_0,0,0.0,lightcurveandspectral,0
ZTF19aceshib_0,0,0.0,lightcurve,0
ZTF19aceshib_0,0,0.0,spectral,0
ZTF19aceshib_0,0,0.0,lightcurveandspectral,0
ZTF19ackjjwf_0,0,0.0,lightcurve,0
ZTF19ackjjwf_0,0,0.0,spectral,0
ZTF19ackjjwf_0,0,0.0,lightcurveandspectral,0
ZTF20rscs02x_0,1,1.0,lightcurve,0
ZTF20rscs02x_0,1,1.0,spectral,0
ZTF20rscs02x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs05x_0,1,1.0,lightcurve,0
ZTF20rscs05x_0,1,1.0,spectral,0
ZTF20rscs05x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs07x_0,1,0.0,lightcurve,0
ZTF20rscs07x_0,1,1.0,spectral,0
ZTF20rscs07x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs12x_0,1,1.0,lightcurve,0
ZTF20rscs12x_0,1,1.0,spectral,0
ZTF20rscs12x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs15x_0,1,0.0,lightcurve,0
ZTF20rscs15x_0,1,1.0,spectral,0
ZTF20rscs15x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs18x_0,1,0.0,lightcurve,0
ZTF20rscs18x_0,1,1.0,spectral,0
ZTF20rscs18x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs21x_0,1,1.0,lightcurve,0
ZTF20rscs21x_0,1,1.0,spectral,0
ZTF20rscs21x_0,1,1.0,lightcurveandspectral,0
ZTF20rscs22x_0,1,1.0,lightcurve,0
ZTF20rscs22x_0,1,1.0,spectral,0
ZTF20rscs22x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws00x_0,1,1.0,lightcurve,0
ZTF20sbws00x_0,1,1.0,spectral,0
ZTF20sbws00x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws01x_0,1,1.0,lightcurve,0
ZTF20sbws01x_0,1,1.0,spectral,0
ZTF20sbws01x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws08x_0,1,1.0,lightcurve,0
ZTF20sbws08x_0,1,1.0,spectral,0
ZTF20sbws08x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws09x_0,1,1.0,lightcurve,0
ZTF20sbws09x_0,1,1.0,spectral,0
ZTF20sbws09x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws14x_0,1,0.0,lightcurve,0
ZTF20sbws14x_0,1,1.0,spectral,0
ZTF20sbws14x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws23x_0,1,0.0,lightcurve,0
ZTF20sbws23x_0,1,1.0,spectral,0
ZTF20sbws23x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws24x_0,1,0.0,lightcurve,0
ZTF20sbws24x_0,1,1.0,spectral,0
ZTF20sbws24x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws25x_0,1,0.0,lightcurve,0
ZTF20sbws25x_0,1,1.0,spectral,0
ZTF20sbws25x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws28x_0,1,1.0,lightcurve,0
ZTF20sbws28x_0,1,1.0,spectral,0
ZTF20sbws28x_0,1,1.0,lightcurveandspectral,0
ZTF20sbws29x_0,1,0.0,lightcurve,0
ZTF20sbws29x_0,1,1.0,spectral,0
ZTF20sbws29x_0,1,1.0,lightcurveandspectral,0
ZTF20acgiglu_0,1,1.0,lightcurve,1
ZTF20acgiglu_0,1,0.0,spectral,1
ZTF20acgiglu_0,1,0.0,lightcurveandspectral,1
ZTF20urcs04x_0,1,1.0,lightcurve,1
ZTF20urcs04x_0,1,1.0,spectral,1
ZTF20urcs04x_0,1,1.0,lightcurveandspectral,1
ZTF20urcs09x_0,1,0.0,lightcurve,1
ZTF20urcs09x_0,1,1.0,spectral,1
ZTF20urcs09x_0,1,1.0,lightcurveandspectral,1
ZTF20urcs15x_0,1,1.0,lightcurve,1
ZTF20urcs15x_0,1,1.0,spectral,1
ZTF20urcs15x_0,1,1.0,lightcurveandspectral,1
ZTF21aahdqrg_0,0,1.0,lightcurve,1
ZTF21aahdqrg_0,0,0.0,spectral,1
ZTF21aahdqrg_0,0,0.0,lightcurveandspectral,1
ZTF21aaqhhfu_0,1,0.0,lightcurve,1
ZTF21aaqhhfu_0,1,1.0,spectral,1
ZTF21aaqhhfu_0,1,1.0,lightcurveandspectral,1
ZTF21aarnjyd_0,0,0.0,lightcurve,1
ZTF21aarnjyd_0,0,0.0,spectral,1
ZTF21aarnjyd_0,0,0.0,lightcurveandspectral,1
ZTF21aaxxmvs_0,0,0.0,lightcurve,1
ZTF21aaxxmvs_0,0,0.0,spectral,1
ZTF21aaxxmvs_0,0,0.0,lightcurveandspectral,1
ZTF21aayddkn_0,0,0.0,lightcurve,1
ZTF21aayddkn_0,0,0.0,spectral,1
ZTF21aayddkn_0,0,0.0,lightcurveandspectral,1
ZTF21aayqrgx_0,0,1.0,lightcurve,1
ZTF21aayqrgx_0,0,0.0,spectral,1
ZTF21aayqrgx_0,0,0.0,lightcurveandspectral,1
ZTF21abahiow_0,0,1.0,lightcurve,1
ZTF21abahiow_0,0,0.0,spectral,1
ZTF21abahiow_0,0,0.0,lightcurveandspectral,1
ZTF21abcrhpk_0,0,1.0,lightcurve,1
ZTF21abcrhpk_0,0,0.0,spectral,1
ZTF21abcrhpk_0,0,0.0,lightcurveandspectral,1
ZTF21abimeun_0,0,0.0,lightcurve,1
ZTF21abimeun_0,0,0.0,spectral,1
ZTF21abimeun_0,0,0.0,lightcurveandspectral,1
ZTF21acdxhuv_0,0,0.0,lightcurve,1
ZTF21acdxhuv_0,0,0.0,spectral,1
ZTF21acdxhuv_0,0,0.0,lightcurveandspectral,1
ZTF21gnos02x_0,1,1.0,lightcurve,1
ZTF21gnos02x_0,1,1.0,spectral,1
ZTF21gnos02x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos07x_0,1,1.0,lightcurve,1
ZTF21gnos07x_0,1,1.0,spectral,1
ZTF21gnos07x_0,1,1.0,lightcurveandspectral,1
ZTF21gnos13x_0,1,1.0,lightcurve,1
ZTF21gnos13x_0,1,1.0,spectral,1
