SN,true_label,prediction,modality,kfold_of_pred
ZTF20sbws00x_0,1,0.0,lightcurve,0
ZTF20sbws00x_0,1,1.0,spectral,0
ZTF20sbws00x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws01x_0,1,0.0,lightcurve,0
ZTF20sbws01x_0,1,1.0,spectral,0
ZTF20sbws01x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws08x_0,1,0.0,lightcurve,0
ZTF20sbws08x_0,1,1.0,spectral,0
ZTF20sbws08x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws09x_0,1,0.0,lightcurve,0
ZTF20sbws09x_0,1,1.0,spectral,0
ZTF20sbws09x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws14x_0,1,0.0,lightcurve,0
ZTF20sbws14x_0,1,1.0,spectral,0
ZTF20sbws14x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws23x_0,1,0.0,lightcurve,0
ZTF20sbws23x_0,1,1.0,spectral,0
ZTF20sbws23x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws24x_0,1,0.0,lightcurve,0
ZTF20sbws24x_0,1,1.0,spectral,0
ZTF20sbws24x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws25x_0,1,0.0,lightcurve,0
ZTF20sbws25x_0,1,1.0,spectral,0
ZTF20sbws25x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws28x_0,1,0.0,lightcurve,0
ZTF20sbws28x_0,1,1.0,spectral,0
ZTF20sbws28x_0,1,0.0,lightcurveandspectral,0
ZTF20sbws29x_0,1,0.0,lightcurve,0
ZTF20sbws29x_0,1,1.0,spectral,0
ZTF20sbws29x_0,1,0.0,lightcurveandspectral,0
ZTF20urcs04x_0,1,0.0,lightcurve,0
ZTF20urcs04x_0,1,1.0,spectral,0
ZTF20urcs04x_0,1,0.0,lightcurveandspectral,0
ZTF20urcs09x_0,1,0.0,lightcurve,0
ZTF20urcs09x_0,1,1.0,spectral,0
ZTF20urcs09x_0,1,0.0,lightcurveandspectral,0
