# epoch,loss,loss_val
0.000000000000000000e+00,6.952554583549499512e-01,6.945053935050964355e-01
1.000000000000000000e+00,6.945124268531799316e-01,6.940128803253173828e-01
2.000000000000000000e+00,6.939398050308227539e-01,6.935333609580993652e-01
3.000000000000000000e+00,6.933660507202148438e-01,6.929870247840881348e-01
4.000000000000000000e+00,6.927258372306823730e-01,6.923974752426147461e-01
5.000000000000000000e+00,6.920388936996459961e-01,6.918010115623474121e-01
6.000000000000000000e+00,6.913311481475830078e-01,6.911133527755737305e-01
7.000000000000000000e+00,6.905283331871032715e-01,6.903252601623535156e-01
8.000000000000000000e+00,6.896071434020996094e-01,6.894203424453735352e-01
9.000000000000000000e+00,6.885662078857421875e-01,6.884115934371948242e-01
1.000000000000000000e+01,6.873974204063415527e-01,6.873052716255187988e-01
1.100000000000000000e+01,6.860884428024291992e-01,6.860342025756835938e-01
1.200000000000000000e+01,6.845102310180664062e-01,6.844840049743652344e-01
1.300000000000000000e+01,6.825824975967407227e-01,6.828861236572265625e-01
1.400000000000000000e+01,6.806092858314514160e-01,6.811378002166748047e-01
1.500000000000000000e+01,6.784876585006713867e-01,6.791760325431823730e-01
1.600000000000000000e+01,6.761108040809631348e-01,6.769758462905883789e-01
1.700000000000000000e+01,6.734642386436462402e-01,6.745406389236450195e-01
1.800000000000000000e+01,6.705337762832641602e-01,6.719081997871398926e-01
1.900000000000000000e+01,6.673345565795898438e-01,6.690014004707336426e-01
2.000000000000000000e+01,6.637670993804931641e-01,6.656396985054016113e-01
2.100000000000000000e+01,6.596575379371643066e-01,6.618360280990600586e-01
2.200000000000000000e+01,6.549680829048156738e-01,6.575676798820495605e-01
2.300000000000000000e+01,6.496871709823608398e-01,6.529415249824523926e-01
2.400000000000000000e+01,6.438431143760681152e-01,6.480067372322082520e-01
2.500000000000000000e+01,6.375607848167419434e-01,6.428987979888916016e-01
2.600000000000000000e+01,6.310368776321411133e-01,6.375670433044433594e-01
2.700000000000000000e+01,6.242046952247619629e-01,6.317932605743408203e-01
2.800000000000000000e+01,6.168371438980102539e-01,6.255581974983215332e-01
2.900000000000000000e+01,6.088868975639343262e-01,6.188880801200866699e-01
3.000000000000000000e+01,6.003700494766235352e-01,6.117495298385620117e-01
3.100000000000000000e+01,5.912188887596130371e-01,6.042016148567199707e-01
3.200000000000000000e+01,5.814544558525085449e-01,5.962936282157897949e-01
3.300000000000000000e+01,5.710739493370056152e-01,5.880621075630187988e-01
3.400000000000000000e+01,5.600915551185607910e-01,5.795744061470031738e-01
3.500000000000000000e+01,5.485248565673828125e-01,5.708699822425842285e-01
3.600000000000000000e+01,5.363315343856811523e-01,5.619496703147888184e-01
3.700000000000000000e+01,5.235268473625183105e-01,5.527669191360473633e-01
3.800000000000000000e+01,5.101440548896789551e-01,5.433195829391479492e-01
3.900000000000000000e+01,4.962039887905120850e-01,5.336896777153015137e-01
4.000000000000000000e+01,4.817539155483245850e-01,5.240081548690795898e-01
4.100000000000000000e+01,4.668332636356353760e-01,5.144262909889221191e-01
4.200000000000000000e+01,4.515123963356018066e-01,5.050582289695739746e-01
4.300000000000000000e+01,4.358580708503723145e-01,4.960469603538513184e-01
4.400000000000000000e+01,4.199119508266448975e-01,4.874236881732940674e-01
4.500000000000000000e+01,4.037500321865081787e-01,4.793193638324737549e-01
4.600000000000000000e+01,3.874950408935546875e-01,4.718773961067199707e-01
4.700000000000000000e+01,3.712423145771026611e-01,4.651023447513580322e-01
4.800000000000000000e+01,3.550980985164642334e-01,4.589582681655883789e-01
4.900000000000000000e+01,3.391213715076446533e-01,4.534110426902770996e-01
5.000000000000000000e+01,3.233862519264221191e-01,4.486151337623596191e-01
5.100000000000000000e+01,3.080091774463653564e-01,4.447364807128906250e-01
5.200000000000000000e+01,2.930479943752288818e-01,4.416826665401458740e-01
5.300000000000000000e+01,2.785537540912628174e-01,4.397144317626953125e-01
5.400000000000000000e+01,2.646298408508300781e-01,4.389239847660064697e-01
5.500000000000000000e+01,2.513310015201568604e-01,4.394204914569854736e-01
5.600000000000000000e+01,2.387187480926513672e-01,4.409285485744476318e-01
5.700000000000000000e+01,2.268287986516952515e-01,4.431284964084625244e-01
5.800000000000000000e+01,2.156845182180404663e-01,4.459643065929412842e-01
5.900000000000000000e+01,2.053071260452270508e-01,4.494645893573760986e-01
6.000000000000000000e+01,1.957160085439682007e-01,4.539422988891601562e-01
6.100000000000000000e+01,1.869121938943862915e-01,4.596621394157409668e-01
6.200000000000000000e+01,1.788675785064697266e-01,4.664857685565948486e-01
6.300000000000000000e+01,1.715639531612396240e-01,4.738199412822723389e-01
6.400000000000000000e+01,1.649690866470336914e-01,4.813647568225860596e-01
