# epoch,loss,loss_val
0.000000000000000000e+00,6.935090422630310059e-01,6.916741132736206055e-01
1.000000000000000000e+00,6.927028298377990723e-01,6.908676028251647949e-01
2.000000000000000000e+00,6.919677257537841797e-01,6.900490522384643555e-01
3.000000000000000000e+00,6.912088394165039062e-01,6.892471313476562500e-01
4.000000000000000000e+00,6.904366612434387207e-01,6.883595585823059082e-01
5.000000000000000000e+00,6.895974874496459961e-01,6.874218583106994629e-01
6.000000000000000000e+00,6.886838078498840332e-01,6.864040493965148926e-01
7.000000000000000000e+00,6.877099871635437012e-01,6.852284073829650879e-01
8.000000000000000000e+00,6.865983605384826660e-01,6.838420629501342773e-01
9.000000000000000000e+00,6.852867007255554199e-01,6.822353601455688477e-01
1.000000000000000000e+01,6.838145256042480469e-01,6.804910302162170410e-01
1.100000000000000000e+01,6.822109222412109375e-01,6.785719394683837891e-01
1.200000000000000000e+01,6.804616451263427734e-01,6.765633821487426758e-01
1.300000000000000000e+01,6.786212921142578125e-01,6.745731234550476074e-01
1.400000000000000000e+01,6.767426729202270508e-01,6.724056601524353027e-01
1.500000000000000000e+01,6.747247576713562012e-01,6.702589392662048340e-01
1.600000000000000000e+01,6.727402806282043457e-01,6.680025458335876465e-01
1.700000000000000000e+01,6.706790328025817871e-01,6.655203700065612793e-01
1.800000000000000000e+01,6.684432625770568848e-01,6.627710461616516113e-01
1.900000000000000000e+01,6.659988164901733398e-01,6.599640846252441406e-01
2.000000000000000000e+01,6.634784340858459473e-01,6.569465994834899902e-01
2.100000000000000000e+01,6.607787609100341797e-01,6.536897420883178711e-01
2.200000000000000000e+01,6.578749418258666992e-01,6.501964926719665527e-01
2.300000000000000000e+01,6.547673344612121582e-01,6.463644504547119141e-01
2.400000000000000000e+01,6.513786911964416504e-01,6.422551870346069336e-01
2.500000000000000000e+01,6.477648019790649414e-01,6.378886103630065918e-01
2.600000000000000000e+01,6.439255475997924805e-01,6.331453323364257812e-01
2.700000000000000000e+01,6.397565007209777832e-01,6.281437277793884277e-01
2.800000000000000000e+01,6.353474855422973633e-01,6.226177215576171875e-01
2.900000000000000000e+01,6.304894685745239258e-01,6.166633367538452148e-01
3.000000000000000000e+01,6.252676844596862793e-01,6.103509664535522461e-01
3.100000000000000000e+01,6.197316646575927734e-01,6.035608649253845215e-01
3.200000000000000000e+01,6.137664914131164551e-01,5.961628556251525879e-01
3.300000000000000000e+01,6.072860360145568848e-01,5.882771611213684082e-01
3.400000000000000000e+01,6.003717780113220215e-01,5.801427960395812988e-01
3.500000000000000000e+01,5.932758450508117676e-01,5.716201066970825195e-01
3.600000000000000000e+01,5.857807397842407227e-01,5.625812411308288574e-01
3.700000000000000000e+01,5.778447985649108887e-01,5.529947876930236816e-01
3.800000000000000000e+01,5.694469213485717773e-01,5.429952740669250488e-01
3.900000000000000000e+01,5.607377290725708008e-01,5.326549410820007324e-01
4.000000000000000000e+01,5.516898036003112793e-01,5.217419266700744629e-01
4.100000000000000000e+01,5.421373248100280762e-01,5.105302929878234863e-01
4.200000000000000000e+01,5.323489904403686523e-01,4.988796114921569824e-01
4.300000000000000000e+01,5.222102999687194824e-01,4.868906438350677490e-01
4.400000000000000000e+01,5.117778778076171875e-01,4.745898246765136719e-01
4.500000000000000000e+01,5.010730028152465820e-01,4.618748724460601807e-01
4.600000000000000000e+01,4.900239408016204834e-01,4.490337967872619629e-01
4.700000000000000000e+01,4.789033234119415283e-01,4.360471069812774658e-01
4.800000000000000000e+01,4.676639735698699951e-01,4.229072332382202148e-01
4.900000000000000000e+01,4.563613533973693848e-01,4.096261262893676758e-01
5.000000000000000000e+01,4.450412094593048096e-01,3.962491154670715332e-01
5.100000000000000000e+01,4.337673783302307129e-01,3.830593824386596680e-01
5.200000000000000000e+01,4.227076768875122070e-01,3.699529469013214111e-01
5.300000000000000000e+01,4.117507040500640869e-01,3.569276034832000732e-01
5.400000000000000000e+01,4.009560346603393555e-01,3.439340293407440186e-01
5.500000000000000000e+01,3.903340101242065430e-01,3.310202658176422119e-01
5.600000000000000000e+01,3.799540698528289795e-01,3.182301223278045654e-01
5.700000000000000000e+01,3.699039220809936523e-01,3.056556582450866699e-01
5.800000000000000000e+01,3.601884841918945312e-01,2.933229506015777588e-01
5.900000000000000000e+01,3.510027825832366943e-01,2.813553810119628906e-01
6.000000000000000000e+01,3.422651290893554688e-01,2.698360085487365723e-01
6.100000000000000000e+01,3.340066969394683838e-01,2.587239742279052734e-01
6.200000000000000000e+01,3.261657953262329102e-01,2.479436695575714111e-01
6.300000000000000000e+01,3.187870979309082031e-01,2.373844832181930542e-01
6.400000000000000000e+01,3.119171857833862305e-01,2.272553294897079468e-01
6.500000000000000000e+01,3.055647313594818115e-01,2.175682485103607178e-01
6.600000000000000000e+01,2.996922135353088379e-01,2.082390338182449341e-01
6.700000000000000000e+01,2.942963242530822754e-01,1.992259323596954346e-01
6.800000000000000000e+01,2.894009351730346680e-01,1.905725449323654175e-01
6.900000000000000000e+01,2.850154042243957520e-01,1.825166940689086914e-01
7.000000000000000000e+01,2.811330556869506836e-01,1.749928593635559082e-01
7.100000000000000000e+01,2.777346372604370117e-01,1.680283993482589722e-01
7.200000000000000000e+01,2.748001217842102051e-01,1.616878956556320190e-01
7.300000000000000000e+01,2.722554206848144531e-01,1.559605151414871216e-01
7.400000000000000000e+01,2.700516879558563232e-01,1.508841067552566528e-01
7.500000000000000000e+01,2.681429088115692139e-01,1.464490294456481934e-01
7.600000000000000000e+01,2.664588391780853271e-01,1.426588594913482666e-01
