# epoch,loss,loss_val
0.000000000000000000e+00,6.937325596809387207e-01,6.907458305358886719e-01
1.000000000000000000e+00,6.920161843299865723e-01,6.890184283256530762e-01
2.000000000000000000e+00,6.903215646743774414e-01,6.873105168342590332e-01
3.000000000000000000e+00,6.887075304985046387e-01,6.854150295257568359e-01
4.000000000000000000e+00,6.869384050369262695e-01,6.832280755043029785e-01
5.000000000000000000e+00,6.849475502967834473e-01,6.807535290718078613e-01
6.000000000000000000e+00,6.827492713928222656e-01,6.779745221138000488e-01
7.000000000000000000e+00,6.802690625190734863e-01,6.748397350311279297e-01
8.000000000000000000e+00,6.774947643280029297e-01,6.712380647659301758e-01
9.000000000000000000e+00,6.743606328964233398e-01,6.672613024711608887e-01
1.000000000000000000e+01,6.708543300628662109e-01,6.629648208618164062e-01
1.100000000000000000e+01,6.670622229576110840e-01,6.583901643753051758e-01
1.200000000000000000e+01,6.630027294158935547e-01,6.533048748970031738e-01
1.300000000000000000e+01,6.585468053817749023e-01,6.476586461067199707e-01
1.400000000000000000e+01,6.536501049995422363e-01,6.415354609489440918e-01
1.500000000000000000e+01,6.482828855514526367e-01,6.348526477813720703e-01
1.600000000000000000e+01,6.424154639244079590e-01,6.277080178260803223e-01
1.700000000000000000e+01,6.360871791839599609e-01,6.201664805412292480e-01
1.800000000000000000e+01,6.293753385543823242e-01,6.123468279838562012e-01
1.900000000000000000e+01,6.224175691604614258e-01,6.038724184036254883e-01
2.000000000000000000e+01,6.149662137031555176e-01,5.947424173355102539e-01
2.100000000000000000e+01,6.070029139518737793e-01,5.850641131401062012e-01
2.200000000000000000e+01,5.985360145568847656e-01,5.748719573020935059e-01
2.300000000000000000e+01,5.896573662757873535e-01,5.641752481460571289e-01
2.400000000000000000e+01,5.803769230842590332e-01,5.529231429100036621e-01
2.500000000000000000e+01,5.706368684768676758e-01,5.410208702087402344e-01
2.600000000000000000e+01,5.603890419006347656e-01,5.284488797187805176e-01
2.700000000000000000e+01,5.496617555618286133e-01,5.151543617248535156e-01
2.800000000000000000e+01,5.384476780891418457e-01,5.011770725250244141e-01
2.900000000000000000e+01,5.267696380615234375e-01,4.865004122257232666e-01
3.000000000000000000e+01,5.146602392196655273e-01,4.711991250514984131e-01
3.100000000000000000e+01,5.021751523017883301e-01,4.553361833095550537e-01
3.200000000000000000e+01,4.893957078456878662e-01,4.390022158622741699e-01
3.300000000000000000e+01,4.764408171176910400e-01,4.222312569618225098e-01
3.400000000000000000e+01,4.633610546588897705e-01,4.051742553710937500e-01
3.500000000000000000e+01,4.502622485160827637e-01,3.879925012588500977e-01
3.600000000000000000e+01,4.372715055942535400e-01,3.706367611885070801e-01
3.700000000000000000e+01,4.244970977306365967e-01,3.532052934169769287e-01
